Time,MotorVoltage,SupplyVoltage,
2695.4011,-0.12,12.325,
2695.4053,-0.12,12.325,
2695.4093,-0.12,12.325,
2695.4134,-0.12,12.325,
2695.4174,-0.12,12.325,
2695.4214,-0.12,12.325,
2695.4256,-0.12,12.325,
2695.4292,-0.12,12.325,
2695.4334,-0.12,12.325,
2695.4374,-0.12,12.325,
2695.4415,-0.12,12.325,
2695.4415,-0.12,12.325,
2695.4452,-0.12,12.325,
2695.4493,-0.12,12.325,
2695.4534,-0.12,12.325,
2695.4574,-0.12,12.325,
2695.4615,-0.12,12.325,
2695.4655,-0.12,12.325,
2695.4694,-0.12,12.325,
2695.4731,-0.12,12.325,
2695.4774,-0.12,12.325,
2695.4812,-0.12,12.325,
2695.4853,-0.12,12.325,
2695.4894,-0.12,12.325,
2695.4935,-0.12,12.325,
2695.4973,-0.12,12.325,
2695.5015,-0.12,12.325,
2695.5055,-0.12,12.325,
2695.5055,-0.12,12.325,
2695.5094,-0.12,12.325,
2695.5134,-0.12,12.325,
2695.5174,-0.12,12.325,
2695.5216,-0.12,12.325,
2695.5256,-0.12,12.325,
2695.5295,-0.12,12.325,
2695.5335,-0.12,12.325,
2695.5374,-0.12,12.325,
2695.5416,-0.12,12.325,
2695.5455,-0.12,12.325,
2695.5494,-0.12,12.325,
2695.5534,-0.12,12.325,
2695.5574,-0.12,12.325,
2695.5613,-0.12,12.325,
2695.5655,-0.12,12.325,
2695.5691,-0.12,12.325,
2695.5734,-0.12,12.325,
2695.5775,-0.12,12.325,
2695.5775,-0.12,12.325,
2695.5813,-0.12,12.325,
2695.5854,-0.12,12.325,
2695.5894,-0.12,12.325,
2695.5935,-0.12,12.325,
2695.598,-0.12,12.325,
2695.6016,-0.12,12.325,
2695.6054,-0.12,12.325,
2695.6094,-0.12,12.325,
2695.6133,-0.12,12.325,
2695.6179,-0.12,12.325,
2695.6213,-0.12,12.325,
2695.6255,-0.12,12.325,
2695.6255,-0.12,12.325,
2695.6292,-0.12,12.325,
2695.6335,-0.12,12.325,
2695.638,-0.12,12.325,
2695.6413,-0.12,12.325,
2695.6456,-0.12,12.325,
2695.6494,-0.12,12.325,
2695.6534,-0.12,12.325,
2695.658,-0.12,12.325,
2695.6614,-0.12,12.325,
2695.6655,-0.12,12.325,
2695.6694,-0.12,12.325,
2695.6734,-0.12,12.325,
2695.6779,-0.12,12.325,
2695.6815,-0.12,12.325,
2695.6854,-0.12,12.325,
2695.6894,-0.12,12.325,
2695.6894,-0.12,12.325,
2695.6934,-0.12,12.325,
